"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"4363","To",61.1,47.8,3,NA,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4364","Never",54.43,44.62,3,NA,1,0,NA,0,1,0,0,1,0,0,0,"2","1","1","3",2,3,3,5,"1",3,NA
"4365","Never",51.55,38.51,4,18,0,0,1,0,1,1,0,0,0,0,0,"4","4","2","3",3,4,4,5,"1",4,4
"4366","Never",58.73,61.74,5,18,0,0,1,0,1,1,0,0,0,0,0,"2","6","2","4",4,3,NA,6,"2",3,5
"4367","Pushout",NA,NA,1,18,1,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4368","Pushout",NA,NA,4,19,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4369","Never",55.83,42.63,5,18,0,1,2,0,1,0,0,0,0,0,0,"2","2","2","3",1,2,2,4,"1",1,9
"4370","Pushout",45.64,58.8,2,NA,0,0,NA,0,0,0,0,0,0,0,0,"2","1","1","3",NA,3,4,6,"1",4,NA
"4371","Pushout",36.53,54.35,1,18,1,1,2,0,1,0,0,0,1,0,0,"2","1","3","2",3,3,1,4,"1",3,4
"4372","Pushout",38.46,43.55,1,18,1,0,2,0,0,1,0,0,0,0,0,"2","1","2","4",3,3,3,6,"2",4,4
"4373","Pushout",42.2,36.29,1,NA,1,0,NA,0,0,0,0,0,0,0,0,"2","1","1","3",2,3,2,4,"1",3,NA
"4374","Pushout",NA,NA,4,18,1,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4375","Never",NA,NA,5,19,0,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"4376","Pushout",NA,NA,3,18,1,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4377","Pushout",50,42.73,3,18,1,0,2,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4378","Never",55.6,37.39,4,18,1,0,2,0,0,1,0,0,0,0,1,"3","4","3","2",2,2,2,3,"2",3,4
"4379","Never",53.25,44.16,4,18,1,0,2,0,0,1,0,0,0,0,1,"4","3","2","3",3,3,3,5,NA,2,7
"4380","Persistence",NA,NA,NA,18,1,0,1,0,1,0,0,1,0,0,1,"3","4","3",NA,NA,NA,NA,NA,"3",NA,5
"4381","Never",59.5,54.08,3,18,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
