"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"1","Never",NA,NA,NA,19,1,0,NA,0,0,0,1,0,0,0,1,NA,NA,"1","4",NA,4,NA,6,"1",4,6
"2","Never",70.79,69.74,4,18,1,0,2,0,1,0,1,0,0,0,0,"2","4","2","2",3,3,3,4,"1",3,7
"3","Never",59.5,54.86,4,17,1,1,2,0,0,0,0,0,1,0,0,"3","3","1","3",3,3,3,5,"1",3,5
"4","Never",57.91,44.21,3,18,0,0,2,0,1,0,1,0,0,0,0,"2","2","2","3",3,3,3,5,"1",2,5
"5","Never",59.35,58.57,5,18,1,0,2,0,0,0,1,0,0,0,0,"3","6","1","3",3,3,3,5,"3",3,6
"6","Never",62.59,65.45,4,18,0,0,2,0,1,0,0,0,1,0,0,"2","5","2","3",4,4,4,5,"2",4,7
"7","Never",59.5,55.16,4,18,1,0,2,0,0,0,0,1,0,0,0,"2","2","1","4",2,4,4,6,"2",3,7
"8","Never",61.82,53.84,4,18,0,0,2,0,1,0,0,0,0,0,0,"3","4","2","3",4,3,3,5,"1",4,5
"9","Never",64.91,66.26,4,18,1,0,2,0,0,0,0,0,1,0,0,"2","2","2","4",3,3,3,5,"1",2,7
"10","Never",68.09,64.84,5,18,1,0,2,0,0,0,0,0,1,0,0,"2","4","2","3",3,3,3,5,"1",3,6
"11","Persistence",59.5,54.27,5,18,1,0,2,0,0,0,1,0,0,0,0,"2","1","1","3",3,3,3,5,"1",3,5
"12","Never",60.27,44.98,4,19,1,0,2,0,1,0,1,0,0,0,0,"2","2","1","1",3,3,3,4,"2",2,6
"13","To",68.09,58.7,5,18,1,0,2,0,1,0,1,0,0,0,0,"5","5","1","3",3,3,4,3,"1",3,7
"14","Never",70.79,64.47,5,19,0,0,2,0,1,0,0,0,0,0,0,"4","3","2","3",4,4,4,5,"1",3,6
"15","Never",70.79,72.43,5,18,1,0,2,0,1,0,0,0,0,0,0,"4","3","2","3",3,3,3,3,"2",3,7
"16","Never",62.59,63.84,5,18,0,0,2,0,1,0,0,0,0,0,0,"2","5","2","3",4,4,2,6,"3",3,7
"17","Never",62.59,57.3,3,NA,1,0,2,0,1,0,0,1,0,0,0,"4","4","1","3",3,3,4,5,"1",3,7
"18","Never",70.79,62.12,5,18,1,0,2,0,1,0,0,0,0,0,0,"5","2","2","3",3,3,4,5,"2",3,7
"19","Never",60.27,65.41,4,18,0,0,2,0,0,0,1,0,0,0,0,"3","1","1","3",2,2,2,4,"1",3,5
"20","Never",70.79,63.15,4,19,0,0,1,0,0,0,0,1,0,0,0,"4","5","1","4",4,3,4,5,"2",4,7
"21","Never",59.5,52.35,5,18,1,0,2,0,0,0,0,0,1,0,0,"2","4","1","3",3,3,3,5,"2",3,6
"22","Never",52.52,41.52,3,18,1,0,2,0,0,0,1,0,0,0,0,"2","1","1","3",3,3,1,5,"1",2,7
"23","Never",70.79,66.23,5,18,0,0,2,0,0,0,0,0,1,0,0,"2","5","1","4",4,4,4,6,"1",4,6
"24","Persistence",59.5,55.65,5,19,1,0,2,0,1,0,0,0,1,0,1,"3","5","2","3",3,3,3,5,"2",3,8
"25","To",56.77,48.95,4,NA,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Never",70.79,45.08,5,18,1,0,1,0,1,0,0,1,0,0,1,NA,"2","1","3",3,3,3,6,NA,3,7
"27","Never",57.22,52.84,4,18,1,0,2,0,0,0,0,0,1,0,1,"2","2","1","3",2,3,3,5,"2",2,8
"28","Never",70.79,49.53,3,19,0,0,2,0,0,0,0,1,0,0,1,"2","3","1","4",3,3,4,5,NA,4,7
"29","Never",43.82,53.66,2,18,1,0,2,0,0,0,0,0,1,0,1,"4","5","3","3",2,3,3,2,"1",3,10
"30","Persistence",33.36,54.27,1,18,1,0,2,0,1,0,0,0,1,0,1,"3","5","1","3",3,3,3,6,"1",4,7
"31","Never",62.95,52.47,4,19,1,0,2,0,1,0,0,1,0,0,1,"2","1","3","3",3,4,3,5,"3",2,5
"32","Never",52.52,63.41,2,19,1,0,1,0,1,0,0,1,0,0,1,"2","2","1","3",3,3,4,6,"2",2,4
"33","Never",66.29,60.59,5,18,1,0,1,0,1,0,0,1,0,0,1,"3","2","1","3",1,3,4,4,"1",3,7
"34","Persistence",49.83,44.97,4,18,1,0,2,0,0,0,0,1,0,0,1,"1","1","2","2",2,2,2,4,"1",3,4
"35","Never",70.79,72.43,5,18,1,1,2,0,0,0,0,0,1,0,1,"2","5","1","3",3,3,3,5,"1",3,7
"36","Persistence",NA,NA,NA,19,1,0,1,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"37","Never",70.79,72.43,4,18,0,0,2,0,0,0,0,0,1,0,1,"3","5","2","3",3,3,4,5,"2",3,7
"38","Pushout",NA,NA,NA,18,1,0,2,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"39","To",54.24,54.86,4,18,1,0,2,0,0,0,0,0,1,0,1,"2","1","3","2",2,1,2,5,"2",2,7
"40","Pushout",68.09,44.87,4,18,1,0,2,0,1,0,0,1,0,0,1,"2","2","1","3",3,3,3,5,"1",3,5
"41","Never",62.59,58.12,5,18,1,0,1,0,1,0,0,0,1,0,1,"2","3","3","2",2,2,3,4,"3",3,6
"42","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,"4","3",NA,NA,NA,NA,NA,NA,NA,NA,6
"43","Never",54.43,53.92,2,18,1,0,2,0,1,0,1,0,0,1,0,"4","5","2","3",3,3,4,6,"3",4,6
"44","Never",56.31,36.29,4,18,1,0,2,0,0,0,1,0,0,1,0,"4","1","1","3",3,3,4,4,"2",3,7
"45","Never",68.09,72.43,5,18,1,0,2,0,1,0,1,0,0,1,0,"6","3","1","4",3,4,4,5,"2",4,6
"46","Persistence",NA,NA,NA,68,1,0,2,0,0,0,1,0,0,1,0,"4","5","1",NA,NA,NA,NA,NA,"1",NA,4
"47","Never",56.77,72.43,5,21,1,0,1,0,1,1,0,0,0,1,0,"3","1","1","3",3,3,3,5,"2",3,6
"48","Persistence",NA,NA,NA,18,1,0,2,1,1,0,1,0,0,1,0,"4","5","2",NA,NA,NA,NA,NA,"3",NA,5
"49","Never",52.52,47.77,4,19,1,0,2,0,1,0,1,0,0,1,0,"4","1","2","4",4,4,4,5,"1",3,7
"50","Never",60.05,52.21,5,18,1,0,2,0,1,0,1,0,0,1,0,"4","1","3","2",2,3,3,4,"1",2,9
"51","Never",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"52","Never",70.79,55.65,4,18,1,0,2,0,1,0,1,0,0,1,0,"4","3","1","4",3,3,3,4,"1",3,9
"53","Never",55.16,54.04,5,19,1,0,2,0,1,0,1,0,0,1,0,"4","1","1","3",4,4,4,6,"1",3,NA
"54","Never",36.41,50.68,1,NA,1,1,2,0,1,0,1,0,0,1,0,"2","1","2","2",3,NA,4,5,"1",NA,4
"55","Persistence",NA,NA,NA,18,0,0,2,0,1,0,1,0,0,1,0,"2","3","3",NA,NA,NA,NA,NA,"1",NA,6
"56","Never",61.65,45.57,4,18,1,0,2,1,1,0,1,0,0,1,0,"4","5","1",NA,NA,NA,NA,NA,"1",NA,8
"57","Never",57.91,55.65,5,18,1,0,2,0,1,0,1,0,0,1,0,"4","1","1",NA,NA,NA,NA,NA,"2",NA,7
"58","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"59","Persistence",NA,NA,NA,18,1,0,2,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"60","To",60.28,46.83,5,18,0,0,2,0,0,0,1,0,0,1,0,"4","4","2","3",3,3,3,4,"1",2,9
"61","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"62","Persistence",NA,NA,NA,18,1,0,2,1,1,0,1,0,0,1,0,"2","3","3","2",2,4,4,5,"1",4,6
"63","Never",NA,NA,NA,18,0,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"64","Never",56.82,52.11,3,18,1,0,2,0,0,0,0,0,1,1,0,"4",NA,"1","4",NA,4,4,6,NA,4,8
"65","Never",55.6,52.49,3,19,1,0,2,0,1,0,1,0,0,1,0,"4",NA,"2","3",1,1,3,5,NA,NA,9
"66","Never",70.79,65.83,4,18,1,0,2,0,1,0,0,0,1,0,1,"3",NA,"1","3",3,3,3,5,"1",3,6
"67","Never",70.79,61.13,5,18,1,0,1,0,0,0,0,1,0,0,1,"2","6","2","3",3,4,4,5,"1",2,6
"68","Never",59.5,54.27,5,18,0,0,1,0,1,0,0,1,0,0,1,"3","2","2","3",1,3,3,4,"2",3,6
"69","To",66.29,53.14,4,18,0,0,1,0,1,0,0,1,0,0,1,"2","5","2","3",3,3,2,5,"1",2,6
"70","Never",NA,NA,NA,18,1,0,2,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"71","Never",59.5,47.24,4,19,1,0,2,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"72","To",NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Never",53.25,14.21,3,19,1,0,1,0,1,0,0,1,0,0,1,"2","1","2","3",2,2,2,5,"1",3,7
"74","Never",NA,NA,NA,19,1,0,2,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"75","Never",61.67,48.19,4,19,1,0,2,0,0,0,0,1,0,0,1,"2","4","2","2",2,2,NA,5,"1",NA,7
"76","Never",61.67,56.49,3,18,1,0,2,0,1,0,0,0,0,0,1,"2","1","1","3",2,NA,NA,5,"2",3,7
"77","Never",62.59,55.65,5,18,1,0,2,0,0,0,0,1,0,0,1,"2","3","2","3",2,3,3,4,"1",3,5
"78","Never",59.5,64.98,5,18,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"79","Never",56.82,44.62,5,18,1,0,2,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"80","Never",59.65,52.75,5,NA,0,0,1,0,0,0,0,1,0,0,1,"2","5","2","2",3,3,4,3,"1",2,7
"81","Never",60.27,57.57,5,19,1,0,1,0,0,0,0,1,0,0,1,"2","1","1","3",3,4,4,6,"2",3,7
"82","Never",51.83,42.27,5,18,1,0,1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"83","Never",NA,NA,NA,19,1,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"84","Never",60.27,51.73,2,100,1,0,1,0,1,0,0,1,0,0,1,"2","2","2","3",2,3,4,3,"1",3,6
"85","Never",70.79,66.92,5,18,1,0,1,0,0,1,0,0,0,0,1,"2","5","2","2",3,3,2,4,"1",3,7
"86","Never",70.79,72.43,5,18,0,0,2,0,1,0,0,0,0,0,1,"2","1","2","3",2,3,3,5,"1",3,7
"87","Never",68.09,58.81,5,18,0,0,1,0,0,0,0,0,0,0,1,"2","3","1","3",3,4,3,6,"1",4,6
"88","Persistence",NA,NA,NA,18,1,0,2,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"89","Persistence",NA,NA,NA,18,1,0,1,0,1,0,0,0,0,0,1,"3","1","1","3",3,3,3,NA,"2",2,7
"90","Never",63.3,72.43,4,19,1,1,2,0,0,0,0,0,0,0,1,"2","1","1","3",3,3,3,6,"2",3,6
"91","Never",59.5,43.32,2,18,1,0,NA,0,1,0,0,1,0,0,1,"2","1","3","1",1,3,2,5,"1",3,7
"92","Never",61.67,68.48,3,19,1,0,2,0,1,0,0,1,0,0,1,"3","2","1","3",3,3,3,5,"1",3,5
"93","Persistence",NA,NA,NA,19,1,0,2,0,1,0,1,0,0,1,0,"3","1","1",NA,NA,NA,NA,NA,"1",NA,6
"94","Never",60.9,55.42,4,19,1,0,2,1,0,0,1,0,0,1,0,"4","1","3","1",3,2,4,4,"1",2,4
"95","Persistence",NA,NA,NA,18,0,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"96","Never",45.06,31.97,3,18,1,0,2,0,0,0,1,0,0,1,0,"5","5","1","4",3,4,4,6,"1",1,7
"97","Persistence",NA,NA,NA,17,1,0,2,0,0,0,1,0,0,1,0,"4","3","2",NA,NA,NA,NA,NA,"1",NA,6
"98","Persistence",55.93,37.23,1,18,0,0,2,0,1,0,1,0,0,1,0,"6","5","3","1",1,2,1,5,"3",1,4
"99","Never",59.65,72.43,1,18,0,0,2,0,1,0,1,0,0,1,0,"4","1","2","2",1,3,4,4,"1",4,10
"100","Persistence",NA,NA,NA,18,1,0,2,0,1,0,0,0,1,1,0,"3","1","2",NA,NA,NA,NA,NA,"1",NA,7
"101","Pushout",57.94,58.95,2,18,1,0,2,1,1,0,1,0,0,1,0,"5","4","2","3",3,2,4,5,"1",2,5
"102","Persistence",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,6
"103","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,"4","1","2","3",3,3,NA,NA,"1",3,10
"104","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,"3","1","3","3",3,3,3,5,"1",2,7
"105","Pushout",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,"6","6","1","4",4,4,4,6,"1",4,4
"106","Pushout",46.68,46.18,2,18,1,0,2,0,1,0,1,0,0,1,0,"6","1","2","3",3,3,3,5,"1",1,5
"107","Pushout",47.94,14.21,1,18,1,1,2,0,1,0,1,0,0,1,0,"2","1","3","3",2,2,3,4,"2",3,5
"108","Pushout",NA,NA,NA,19,1,0,2,0,0,0,1,0,0,1,0,"3","2","1",NA,NA,NA,NA,NA,"1",NA,5
"109","Persistence",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,"3","1","2",NA,NA,NA,NA,NA,"3",NA,7
"110","Pushout",47.13,47.71,1,19,0,0,2,0,1,0,1,0,0,1,0,"2","1","1","3",3,3,3,6,"1",2,5
"111","Pushout",NA,NA,NA,18,0,0,2,0,0,0,0,0,0,1,0,"5","3","2",NA,NA,NA,NA,NA,"1",NA,6
"112","Persistence",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"113","Pushout",43.04,26.35,1,18,1,0,2,0,0,0,1,0,0,1,0,"4","3","2","3",3,4,3,5,"1",4,6
"114","Pushout",NA,NA,NA,19,1,0,2,0,0,0,1,0,0,1,0,"6","6","1","4",4,4,4,6,"2",4,5
"115","Persistence",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,"4","4","3",NA,NA,NA,NA,NA,"1",NA,6
"116","Never",56.82,50.05,4,18,1,1,2,0,1,0,1,0,0,1,0,"5","1","2","4",4,4,4,6,"1",4,6
"117","Persistence",47.79,43.32,2,18,1,0,2,1,1,0,1,0,0,1,0,"3","1","2","3",3,2,3,4,"1",2,5
"118","Persistence",NA,NA,NA,18,1,0,2,1,1,0,1,0,0,1,0,"5","3","1","3",4,3,NA,NA,"1",3,6
"119","Never",56.13,50.75,4,18,1,0,1,0,0,1,0,0,0,1,0,"4","1","1","3",2,3,3,5,"2",3,7
"120","Persistence",44.32,61.94,2,18,1,0,2,0,0,0,1,0,0,1,0,"3","1","2","2",3,3,4,3,"1",2,7
"121","Persistence",NA,NA,NA,19,1,0,2,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"122","Pushout",NA,NA,NA,19,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"123","Never",NA,NA,3,18,1,0,2,0,1,0,1,0,0,1,0,"4","1","2",NA,NA,NA,NA,NA,"1",NA,6
"124","Persistence",38.46,40.49,1,20,1,0,2,0,1,0,1,0,0,1,0,"2","1","3","2",3,3,3,4,"1",3,6
"125","Pushout",NA,NA,NA,17,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"126","Never",55.9,54.86,5,18,1,0,2,0,0,1,0,0,0,1,0,"5","1","1","3",3,3,3,5,"2",3,7
"127","To",59.65,69.18,3,18,1,0,2,0,1,0,1,0,0,1,0,"4","1","2","3",4,3,1,6,"1",3,4
"128","Never",55.9,49.45,4,18,1,1,2,0,0,0,1,0,0,1,0,"4","1","1","3",4,3,3,4,"1",3,6
"129","Persistence",NA,NA,NA,19,0,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"130","Persistence",NA,NA,NA,19,1,0,2,0,0,0,0,0,0,1,0,"6","5","2",NA,NA,NA,NA,NA,"3",NA,6
"131","Never",57.91,54.3,1,18,0,0,2,0,1,0,1,0,0,1,0,"4","1","2","2",2,2,2,4,"3",2,7
"132","Never",70.79,69.74,4,18,1,0,2,0,0,0,0,0,0,1,0,"3","1","3","3",3,4,4,5,NA,2,6
"133","Never",59.5,54.86,4,18,0,0,2,0,1,0,1,0,0,1,0,"4","1","1","3",3,3,3,5,"1",3,7
"134","Persistence",NA,NA,NA,18,1,0,2,1,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"135","Never",66.29,54.86,4,18,1,0,2,0,0,0,0,0,0,1,0,"4","5","2","2",4,3,3,5,"2",3,6
"136","To",61.67,59.64,3,17,1,1,2,0,0,0,0,0,1,1,0,"4","4","2","4",4,3,3,5,"3",2,6
"137","Never",50,37.2,2,18,1,0,2,0,1,0,1,0,0,1,0,"4","1","2","3",3,3,2,5,"1",2,6
"138","Persistence",NA,NA,NA,18,0,0,2,0,0,0,1,0,0,1,0,"3","5","1",NA,NA,NA,NA,NA,"1",NA,6
"139","Persistence",NA,NA,NA,18,1,0,2,1,0,0,0,0,1,1,0,"4","1","1","2",3,2,3,1,"1",3,5
"140","Persistence",42.2,27.21,1,18,1,0,2,1,0,0,1,0,0,1,0,"3","1","2","2",1,1,1,2,"1",2,4
"141","Persistence",NA,NA,NA,18,1,0,1,0,1,1,0,0,0,1,0,"4","3","1",NA,NA,NA,NA,NA,"1",NA,6
"142","Never",57.91,47.65,3,18,1,0,1,0,0,1,0,0,0,1,0,"5","1","1","2",2,2,3,4,"1",2,4
"143","Persistence",NA,NA,NA,19,0,0,2,0,1,1,0,0,0,1,0,"3","6","1","4",4,4,4,NA,"1",2,6
"144","Never",56.82,54.86,4,18,1,0,2,1,1,0,1,0,0,1,0,"4","4","3","3",3,3,3,5,"3",3,6
"145","Persistence",NA,NA,NA,19,1,0,2,1,1,0,1,0,0,1,0,"4","1","3","3",4,3,2,5,"1",2,4
"146","Never",38.46,45.93,2,18,1,0,2,0,1,0,1,0,0,1,0,"3","2","3","3",4,3,3,5,"1",3,4
"147","Never",59.5,43.79,4,18,1,0,2,1,1,0,1,0,0,1,0,"4","1","2","3",3,3,2,4,"1",2,5
"148","Persistence",NA,NA,NA,19,1,0,2,1,0,0,1,0,0,1,0,"6","1","3",NA,NA,NA,NA,NA,"3",NA,6
"149","Never",NA,NA,NA,18,1,0,2,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"150","Never",NA,NA,NA,19,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"151","Persistence",NA,NA,NA,97,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"152","Never",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"153","Never",58.72,46.02,4,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"154","Pushout",53.84,40.79,3,18,1,0,2,1,0,0,1,0,0,1,0,"5","4","3","2",4,3,4,3,"1",3,6
"155","Never",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"156","Pushout",NA,NA,NA,17,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"157","Never",63.39,45.57,3,18,1,0,2,0,1,0,1,0,0,1,0,"5","3","3","2",4,3,4,4,NA,2,9
"158","Never",NA,NA,NA,18,1,0,2,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"159","To",NA,NA,NA,19,0,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"160","Never",NA,NA,NA,19,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"161","Pushout",39.72,47.84,NA,18,1,0,2,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"162","Never",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"163","Never",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"164","Never",NA,NA,NA,18,1,0,2,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"165","Never",70.79,45.57,4,18,1,1,2,0,1,0,1,0,0,1,0,"5","4","2","3",3,3,4,5,"1",3,7
"166","Never",57.91,44.62,4,18,1,0,2,0,1,0,1,0,0,1,0,"3","1","1","3",4,3,3,6,"2",3,8
"167","Persistence",NA,NA,NA,18,1,0,2,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"168","Pushout",41.82,33.47,1,18,0,0,2,1,1,0,1,0,0,1,0,"3",NA,"1","3",NA,3,3,4,"1",3,5
"169","Persistence",66.29,51.95,5,18,0,0,1,0,1,0,1,0,0,1,0,"4","1","2","3",3,3,3,5,NA,3,7
"170","Never",51.25,39.26,4,18,1,0,2,0,1,0,0,0,0,1,0,"1","1","2","1",2,1,1,2,"1",1,8
"171","Persistence",49.42,44.24,3,19,0,0,2,0,1,0,1,0,0,1,0,"1","1","1","4",4,2,3,5,"1",2,1
"172","Pushout",NA,NA,NA,18,1,0,2,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"173","Never",NA,NA,NA,18,0,0,2,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"174","Never",70.79,70.93,5,18,1,0,2,0,1,0,1,0,0,1,0,"6","6","2","4",4,4,4,6,"1",4,8
"175","Never",53.25,70.93,4,17,1,0,2,0,1,0,1,0,0,1,0,"3","1","1","3",3,2,NA,4,"1",NA,7
"176","To",NA,NA,NA,19,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"177","Never",43.02,37.31,3,19,1,1,2,0,1,1,0,0,0,1,0,"3","1","2","3",3,NA,3,5,NA,NA,5
"178","Never",NA,NA,NA,19,1,0,2,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"179","Never",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"180","Never",NA,NA,NA,18,0,0,2,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"181","Never",49.27,64.55,3,18,1,1,2,0,1,0,1,0,0,1,0,"2","1","1","3",3,4,3,5,NA,2,7
"182","Never",NA,NA,NA,18,1,1,2,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"183","Never",56.82,47.77,5,18,1,0,2,0,0,0,1,0,0,1,0,"4","1","3","1",3,2,4,4,"1",2,8
"184","Never",70.79,70.93,5,18,1,0,2,1,1,0,1,0,0,1,0,"4",NA,"1","4",4,4,4,6,"2",4,7
"185","Never",56.82,44.62,5,18,0,0,2,0,0,0,1,0,0,1,0,"5",NA,"2","3",2,3,2,5,"1",2,4
"186","Never",70.79,70.93,5,97,0,0,2,0,1,0,1,0,0,1,0,"4","4","1","4",4,4,4,6,"1",4,8
"187","Never",55.93,42.95,3,18,1,0,2,0,0,0,1,0,0,1,0,"5","1","2","3",3,2,3,5,"1",3,8
"188","Never",NA,NA,NA,18,1,0,2,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"189","Pushout",NA,NA,NA,18,1,1,2,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"190","Never",53.51,46.3,4,18,0,0,2,0,0,1,0,0,0,1,0,"4","1","3","1",3,2,2,4,"3",NA,9
"191","Never",NA,NA,NA,18,1,0,2,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"192","Persistence",50,58.46,2,18,1,0,2,0,0,0,1,0,0,1,0,"2","2","1","3",2,3,4,5,NA,3,8
"193","Persistence",NA,NA,1,19,0,0,2,0,0,0,0,0,1,1,0,"3","1","3",NA,NA,NA,NA,NA,"2",NA,8
"194","Persistence",NA,NA,NA,18,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"195","Never",NA,NA,NA,19,1,0,2,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"196","Never",NA,NA,NA,19,0,0,2,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"197","Persistence",46.81,35.02,1,18,1,1,2,1,1,0,0,0,1,1,0,"3","1","3","2",2,1,3,2,"2",3,5
"198","Pushout",NA,NA,NA,19,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"199","Pushout",NA,NA,NA,17,1,0,2,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"200","Never",57.97,49.86,3,18,1,0,2,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"201","Persistence",44.04,55.06,2,18,1,0,2,0,0,0,1,0,0,1,0,"2","1","2","3",3,2,2,4,NA,NA,8
"202","Never",60.27,62.91,4,17,1,0,2,0,1,0,1,0,0,1,0,"4","4","3","3",3,1,4,3,"1",2,9
"203","Never",42.2,44.16,1,18,1,0,2,0,1,0,1,0,0,1,0,"2","1","3","1",3,NA,3,4,NA,3,5
"204","Never",NA,NA,NA,18,1,0,2,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"205","Pushout",49.35,55.65,2,19,1,0,2,0,0,0,1,0,0,1,0,"3","1","1","3",3,NA,4,1,"1",3,7
